sku,attribute_set_code,product_type,categories,vendor,visibility,name,description,productype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,base_image,small_image,thumbnail_image,additional_image,accessories,qty,max_cart_qty
MacBook Pro,Laptop,simple,Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,67784075,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-14.jpg,Bộ sạc + hướng dẫn sử dụng,46,29
"MacBook 12""",Laptop,simple,Apple,Apple,"Catalog, Search","MacBook 12""",Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,35070356,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-16.jpg,Bộ sạc + hướng dẫn sử dụng,47,30
MacBook Pro,Laptop,simple,Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,42186382,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-18.jpg,Bộ sạc + hướng dẫn sử dụng,48,31
MacBook Pro,Laptop,simple,Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,79397241,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-20.jpg,Bộ sạc + hướng dẫn sử dụng,49,32
MacBook Air,Laptop,simple,Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,30530989,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-21.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-21.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-21.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-22.jpg,Bộ sạc + hướng dẫn sử dụng,50,33
MacBook Air,Laptop,simple,Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,27725139,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-23.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-23.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-23.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/macbook-pro-13-m1-24.jpg,Bộ sạc + hướng dẫn sử dụng,51,34
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,13859791,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-2.jpg,Bộ sạc + hướng dẫn sử dụng,52,35
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,20696622,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-4.jpg,Bộ sạc + hướng dẫn sử dụng,53,36
XPS 13,Laptop,simple,Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,27197305,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-6.jpg,Bộ sạc + hướng dẫn sử dụng,54,37
Inspiron 5379,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5379,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,22752393,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-8.jpg,Bộ sạc + hướng dẫn sử dụng,55,38
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,11630112,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-10.jpg,Bộ sạc + hướng dẫn sử dụng,56,39
Inspiron 5570,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5570,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,22224560,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-12.jpg,Bộ sạc + hướng dẫn sử dụng,57,40
Latitude 5590,Laptop,simple,Dell,Dell,"Catalog, Search",Latitude 5590,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,36059349,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-14.jpg,Bộ sạc + hướng dẫn sử dụng,58,41
XPS 13,Laptop,simple,Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,51922128,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-16.jpg,Bộ sạc + hướng dẫn sử dụng,59,42
Inspiron 5770,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5770,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,27197305,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-18.jpg,Bộ sạc + hướng dẫn sử dụng,60,43
Inspiron 7577,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 7577,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,41643269,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-20.jpg,Bộ sạc + hướng dẫn sử dụng,61,44
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,15973903,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-2.jpg,Bộ sạc + hướng dẫn sử dụng,62,45
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,10942818,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-4.jpg,Bộ sạc + hướng dẫn sử dụng,63,46
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,9584064,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-6.jpg,Bộ sạc + hướng dẫn sử dụng,64,47
255 G6,Laptop,simple,HP,HP,"Catalog, Search",255 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,7167421,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-8.jpg,Bộ sạc + hướng dẫn sử dụng,65,48
15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Laptop,simple,HP,HP,"Catalog, Search",15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,18307481,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-10.jpg,Bộ sạc + hướng dẫn sử dụng,66,49
ProBook 470,Laptop,simple,HP,HP,"Catalog, Search",ProBook 470,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,24891507,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-2.jpg,Bộ sạc + hướng dẫn sử dụng,67,50
17-ak001nv (A6-9220/4GB/500GB/Radeon,Laptop,simple,HP,HP,"Catalog, Search",17-ak001nv (A6-9220/4GB/500GB/Radeon,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,12195727,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-4.jpg,Bộ sạc + hướng dẫn sử dụng,68,51
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,13576150,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-6.jpg,Bộ sạc + hướng dẫn sử dụng,69,52
ProBook 450,Laptop,simple,HP,HP,"Catalog, Search",ProBook 450,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,24419235,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-8.jpg,Bộ sạc + hướng dẫn sử dụng,70,53
