sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,accessories,qty,max_cart_qty,pin,base_image,small_image,thumbnail_image,additional_images
gs63vr 7rg-16gb-256gb ssd +  2tb hdd,gs63vr 7rg-16gb-256gb ssd +  2tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GS63VR 7RG,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8kg,62270439,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-6.1.jpg,MSI-6.1.jpg,MSI-6.1.jpg,MSI-6.2.jpg
gs73vr 7rg-16gb-256gb ssd +  2tb hdd,gs73vr 7rg-16gb-256gb ssd +  2tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GS73VR 7RG,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,68034934,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-7.1.jpg,MSI-7.1.jpg,MSI-7.1.jpg,MSI-7.2.jpg
gt73evr 7re-16gb-512gb ssd +  1tb hdd,gt73evr 7re-16gb-512gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GT73EVR 7RE,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14kg,69423969,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-8.1.jpg,MSI-8.1.jpg,MSI-8.1.jpg,MSI-8.2.jpg
gt80s 6qf-074us-32gb-512gb ssd +  1tb hdd,gt80s 6qf-074us-32gb-512gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GT80S 6QF-074US,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4kg,77758179,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-9.1.jpg,MSI-9.1.jpg,MSI-9.1.jpg,MSI-9.2.jpg
ideapad 120s-14iap-4gb-64gb flash storage,ideapad 120s-14iap-4gb-64gb flash storage,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 120S-14IAP,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,6917394,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-01.jpg,lenovo-01.jpg,lenovo-01.jpg,lenovo-02.jpg
ideapad 310-15isk-4gb-1tb hdd,ideapad 310-15isk-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",Ideapad 310-15ISK,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,11526212,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-03.jpg,lenovo-03.jpg,lenovo-03.jpg,lenovo-04.jpg
ideapad 320-15ast-4gb-128gb ssd,ideapad 320-15ast-4gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15AST,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,11084499,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-05.jpg,lenovo-05.jpg,lenovo-05.jpg,lenovo-06.jpg
ideapad 320-15ikb-8gb-1tb hdd,ideapad 320-15ikb-8gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15IKB,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,13862569,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-07.jpg,lenovo-07.jpg,lenovo-07.jpg,lenovo-08.jpg
ideapad 320-15ikbn-8gb-2tb hdd,ideapad 320-15ikbn-8gb-2tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15IKBN,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,14418183,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-09.jpg,lenovo-09.jpg,lenovo-09.jpg,lenovo-10.jpg
ideapad 320-15isk-4gb-128gb ssd,ideapad 320-15isk-4gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15ISK,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,2.2kg,10251078,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-11.jpg,lenovo-11.jpg,lenovo-11.jpg,lenovo-12.jpg
ideapad 520s-14ikb-8gb-256gb ssd,ideapad 520s-14ikb-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 520S-14IKB,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,16640639,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-13.jpg,lenovo-13.jpg,lenovo-13.jpg,lenovo-14.jpg
inspiron 3567-4gb-1tb hdd,inspiron 3567-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,11630112,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-01.jpg,dell-01.jpg,dell-01.jpg,dell-02.jpg
inspiron 3567-4gb-256gb ssd,inspiron 3567-4gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,13859791,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-03.jpg,dell-03.jpg,dell-03.jpg,dell-04.jpg
inspiron 3567-8gb-256gb ssd,inspiron 3567-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,20696622,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-05.jpg,dell-05.jpg,dell-05.jpg,dell-06.jpg
inspiron 5379-8gb-256gb ssd,inspiron 5379-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5379,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,22752393,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-07.jpg,dell-07.jpg,dell-07.jpg,dell-08.jpg
inspiron 5570-8gb-256gb ssd,inspiron 5570-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5570,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,22224560,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-09.jpg,dell-09.jpg,dell-09.jpg,dell-10.jpg
inspiron 5770-8gb-128gb ssd +  1tb hdd,inspiron 5770-8gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5770,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,27197305,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-11.jpg,dell-11.jpg,dell-11.jpg,dell-12.jpg
inspiron 7577-16gb-256gb ssd +  1tb hdd,inspiron 7577-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 7577,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,41643269,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-13.jpg,dell-13.jpg,dell-13.jpg,dell-14.jpg
latitude 5590-8gb-256gb ssd +  256gb ssd,latitude 5590-8gb-256gb ssd +  256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Latitude 5590,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,36059349,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-15.jpg,dell-15.jpg,dell-15.jpg,dell-16.jpg
legion y520-15ikbn-8gb-128gb ssd +  1tb hdd,legion y520-15ikbn-8gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",Legion Y520-15IKBN,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,27752919,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-15.jpg,lenovo-15.jpg,lenovo-15.jpg,lenovo-16.jpg
"macbook 12""-8gb-256gb ssd","macbook 12""-8gb-256gb ssd",Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search","MacBook 12""",Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,35070356,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-01.jpg,macbook-01.jpg,macbook-01.jpg,macbook-02.jpg
macbook air-8gb-128gb flash storage1,macbook air-8gb-128gb flash storage1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",Macbook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,24973182,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-03.jpg,macbook-03.jpg,macbook-03.jpg,macbook-04.jpg
macbook air-8gb-128gb flash storage2,macbook air-8gb-128gb flash storage2,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,30530989,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-05.jpg,macbook-05.jpg,macbook-05.jpg,macbook-06.jpg
macbook air-8gb-256gb flash storage,macbook air-8gb-256gb flash storage,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",Macbook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,32189497,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-07.jpg,macbook-07.jpg,macbook-07.jpg,macbook-08.jpg
macbook air-8gb-256gb flash storage3,macbook air-8gb-256gb flash storage3,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,27725139,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-09.jpg,macbook-09.jpg,macbook-09.jpg,macbook-10.jpg
macbook pro-16gb-256gb flash storage,macbook pro-16gb-256gb flash storage,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,59449865,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-11.jpg,macbook-11.jpg,macbook-11.jpg,macbook-12.jpg
macbook pro-16gb-256gb ssd,macbook pro-16gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,67784075,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-13.jpg,macbook-13.jpg,macbook-13.jpg,macbook-14.jpg
macbook pro-16gb-512gb ssd1,macbook pro-16gb-512gb ssd1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg,70492137,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-15.jpg,macbook-15.jpg,macbook-15.jpg,macbook-16.jpg
macbook pro-16gb-512gb ssd,macbook pro-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,79397241,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-17.jpg,macbook-17.jpg,macbook-17.jpg,macbook-18.jpg
macbook pro-8gb-128gb ssd,macbook pro-8gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,37217526,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-19.jpg,macbook-19.jpg,macbook-19.jpg,macbook-20.jpg
macbook pro-8gb-256gb ssd1,macbook pro-8gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,50105271,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-21.jpg,macbook-21.jpg,macbook-21.jpg,macbook-22.jpg
macbook pro-8gb-256gb ssd,macbook pro-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,42186382,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,macbook-23.jpg,macbook-23.jpg,macbook-23.jpg,macbook-24.jpg
notebook 9-16gb-256gb ssd1,notebook 9-16gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,45810374,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-4.1.jpg,SAMSUNG-4.1.jpg,SAMSUNG-4.1.jpg,SAMSUNG-4.2.jpg
notebook 9-16gb-256gb ssd2,notebook 9-16gb-256gb ssd2,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon 540,Windows 10,1.71kg,49977479,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-5.1.jpg,SAMSUNG-5.1.jpg,SAMSUNG-5.1.jpg,SAMSUNG-5.2.jpg
notebook 9-16gb-256gb ssd,notebook 9-16gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.23kg,51366514,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-6.1.jpg,SAMSUNG-6.1.jpg,SAMSUNG-6.1.jpg,SAMSUNG-6.2.jpg
notebook 9-8gb-256gb ssd1,notebook 9-8gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.31kg,44421339,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-7.1.jpg,SAMSUNG-7.1.jpg,SAMSUNG-7.1.jpg,SAMSUNG-7.2.jpg
